Traction,Time
2.0,10028.0
1.0,10080.0
4.0,10131.0
0.0,10183.0
0.0,0.0
2.0,49.0
1.0,99.0
0.0,149.0
1.0,199.0
1.0,248.0
0.0,298.0
3.0,348.0
4.0,397.0
3.0,445.0
3.0,494.0
4.0,544.0
1.0,594.0
2.0,645.0
3.0,695.0
2.0,746.0
0.0,796.0
4.0,844.0
1.0,891.0
4.0,939.0
2.0,989.0
0.0,1040.0
2.0,1090.0
3.0,1141.0
1.0,1191.0
3.0,1242.0
1.0,1291.0
0.0,1342.0
4.0,1394.0
3.0,1443.0
2.0,1494.0
4.0,1546.0
4.0,1595.0
2.0,1644.0
1.0,1695.0
2.0,1745.0
3.0,1798.0
3.0,1847.0
3.0,1896.0
2.0,1947.0
4.0,1998.0
3.0,2046.0
3.0,2098.0
0.0,2148.0
3.0,2197.0
0.0,2246.0
1.0,2297.0
1.0,2349.0
4.0,2398.0
0.0,2448.0
2.0,2497.0
0.0,2546.0
4.0,2598.0
2.0,2647.0
0.0,2697.0
2.0,2747.0
1.0,2799.0
3.0,2849.0
1.0,2899.0
1.0,2948.0
1.0,2999.0
1.0,3050.0
0.0,3101.0
3.0,3152.0
4.0,3204.0
2.0,3252.0
2.0,3303.0
3.0,3353.0
0.0,3404.0
1.0,3454.0
2.0,3505.0
1.0,3557.0
3.0,3607.0
3.0,3658.0
4.0,3708.0
2.0,3761.0
0.0,3812.0
2.0,3862.0
4.0,3911.0
0.0,3961.0
4.0,4012.0
0.0,4064.0
3.0,4114.0
1.0,4164.0
1.0,4216.0
0.0,4267.0
3.0,4316.0
0.0,4368.0
0.0,4418.0
3.0,4469.0
2.0,4520.0
2.0,4571.0
3.0,4623.0
4.0,4674.0
4.0,4726.0
2.0,4777.0
4.0,4827.0
2.0,4878.0
3.0,4928.0
0.0,4977.0
2.0,5026.0
4.0,5076.0
0.0,5128.0
0.0,5177.0
3.0,5227.0
3.0,5278.0
0.0,5326.0
3.0,5375.0
2.0,5428.0
0.0,5479.0
3.0,5531.0
4.0,5582.0
3.0,5633.0
0.0,5685.0
3.0,5737.0
3.0,5788.0
3.0,5839.0
3.0,5892.0
2.0,5944.0
4.0,5995.0
0.0,6044.0
3.0,6095.0
3.0,6144.0
4.0,6195.0
0.0,6245.0
1.0,6295.0
2.0,6346.0
1.0,6398.0
3.0,6450.0
2.0,6500.0
4.0,6550.0
1.0,6599.0
4.0,6650.0
1.0,6701.0
